algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.2817970283631,0.40284867583144185,0.36682178058459675,0.310979042943785,0.0,0.0,0.0,0.0
ctd,cramer_l2,0.027159443153415178,0.020741980280715614,0.03837508405367335,0.02746012731713227,0.0,0.0,0.0,0.0
ctd,cf_l2_w,0.02082722487608298,0.016191851904432775,0.031734917353302555,0.021854287351599735,0.0,0.0,0.0,0.0
qtd,w1,0.2007526118935651,0.4114857052239253,0.3742531562162542,0.2570077591525001,0.0,0.0,0.0,0.0
qtd,cramer_l2,0.009587357860481389,0.018181528269128194,0.04025132726710093,0.013957929873904307,0.0,0.0,0.0,0.0
qtd,cf_l2_w,0.009340769640444935,0.017754817749952547,0.03989129525522768,0.013533685980373718,0.0,0.0,0.0,0.0
dirac,w1,0.10592266025553092,0.2415400132134661,0.16127048544870926,0.12584391076236323,0.0,0.0,0.0,0.0
dirac,cramer_l2,0.002653297421579532,0.006464812301382722,0.0052509948994983475,0.001932094877284192,0.0,0.0,0.0,0.0
dirac,cf_l2_w,0.002002374393436764,0.0055528766773659845,0.004324507254328612,0.0013600932873459256,0.0,0.0,0.0,0.0
phi_cat,w1,0.2833027820240937,0.407377876684215,0.3596181042050708,0.310583015304407,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.027493233829327075,0.02321356618729339,0.038380356751835015,0.027960604657466394,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.020581129430228315,0.018307640898210683,0.031181890582327395,0.02181392767733096,0.0,0.0,0.0,0.0
phi_qt,w1,0.10316342904021894,0.27352918255045583,0.10944788127019729,0.12447804344623489,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.00236056948617236,0.005838171830688761,0.002252780786868715,0.0019376012835009093,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.001870529584757578,0.0056633310496634675,0.0018155706509435517,0.0013689950131537541,0.0,0.0,0.0,0.0
