algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.31630170044946737,1.1088146601943802,0.6247747529742804,0.380354872688876,0.0027537589174504006,0.06499585729923575,0.029701701003400353,0.0028319935946845213
ctd,cramer_l2,0.03786350521905834,0.13324499277825605,0.08900034302897791,0.04273659039773609,0.0009350445820562156,0.017337061421189567,0.00804104622751055,0.0011370296047497623
ctd,cf_l2_w,0.031389411506031396,0.10458029117824046,0.07589717685309663,0.03535112317690375,0.0011161912135751958,0.013202612091391685,0.007524025344968153,0.0015766274333842178
qtd,w1,0.24310526512416297,0.9129524644764409,0.5733007292562815,0.29889795512073847,0.0168056381384582,0.033073047699451394,0.017285711276536102,0.019704763231766422
qtd,cramer_l2,0.01803158741913074,0.10251186876780134,0.08050114328794264,0.022500477289979323,0.0026402641193602324,0.008590115109848594,0.004290192128722788,0.003182164742650542
qtd,cf_l2_w,0.017271821885324577,0.08650962116896586,0.07654224724990684,0.021437214193745578,0.002489177274644878,0.0076334238876532585,0.004178333934746858,0.0030938045136047142
dirac,w1,0.15431732314239915,0.6058138187419317,0.29732933412302265,0.17741128824291122,0.015152811337071371,0.10506457719161758,0.08430073131111679,0.018690389475703888
dirac,cramer_l2,0.006701682999763587,0.04120071811178362,0.01707524280201434,0.005571123798848407,0.0014249090102640247,0.014973434681470906,0.007391893900074747,0.0016017869244866394
dirac,cf_l2_w,0.0058200767143469605,0.033417761572700835,0.014870162939786574,0.004744067488084887,0.0013117295955224224,0.013085160370013203,0.006419953003194029,0.0016602621633581528
phi_cat,w1,0.2948482248600709,0.7977751670969065,0.470291760746626,0.32768939828595733,0.006801821270768283,0.05717687638587238,0.04566276140344615,0.008579357123672063
phi_cat,cramer_l2,0.02992012126190548,0.08336170606748408,0.051541672461540976,0.029963996304274654,0.0014162580743015637,0.014598215395558587,0.005322539890002033,0.0009454036808609818
phi_cat,cf_l2_w,0.02399222302525491,0.06328169905328837,0.04425665037988813,0.024226742969683558,0.001252970947977398,0.009076646222784772,0.0052977105197296905,0.0009273053073907967
phi_qt,w1,0.16063035745506682,0.37748046067126545,0.1983904033677441,0.17472652134861638,0.01674625697070758,0.06687342905667407,0.021694049853451837,0.01862343155851472
phi_qt,cramer_l2,0.006944047773447734,0.012078796436524621,0.009710890232257663,0.005110034229503208,0.0013493778779849763,0.0050515718511609745,0.0040571542187856375,0.00113567769883944
phi_qt,cf_l2_w,0.0062774123741695595,0.011349197886850947,0.009232687892894218,0.004431789535954961,0.001260668256616371,0.004792530377969153,0.004072953871067691,0.0009531344453815123
