algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
ctd,w1,0.28312904036451264,0.45142710993121016,0.35116088404593143,0.31742628258881367,0.0035523869155458564,0.017863085420775165,0.008344784029555187,0.0033600703380938356
ctd,cramer_l2,0.027483175091833494,0.0249066439416184,0.03729340913267155,0.028800870062977102,0.0011459532528340394,0.0021300222635283,0.0014679869744993234,0.0013823314107008617
ctd,cf_l2_w,0.0211512077535041,0.020104162827306864,0.03156846088410677,0.022915630559064797,0.00023446047663894517,0.0013362948136817461,0.0008135668471983268,0.0005470107121324144
qtd,w1,0.20648713068872313,0.40705749434630245,0.38206333863815845,0.2516501663018092,0.009845751270819708,0.02491913935851503,0.03483358428845658,0.01812271565840503
qtd,cramer_l2,0.010297426799290216,0.017308105450973,0.04209819998580062,0.013504694897148613,0.0010542297868991522,0.0032323810967712593,0.009133824236462973,0.0034766888329738586
qtd,cf_l2_w,0.010033854918622857,0.016546310751193883,0.041712306647907295,0.012994240354784099,0.0010481980866119964,0.003168590113784554,0.009124899468199787,0.003136481254236378
dirac,w1,0.13618551121313965,0.45165399743970236,0.23136258649462577,0.1789994446484875,0.006349219119392553,0.07916725219345128,0.04597443854551819,0.02580231587303765
dirac,cramer_l2,0.00508620512475858,0.017023686653650418,0.01095987550461854,0.005498130263966283,0.00044576981983590586,0.005367057759837998,0.0021809927856533446,0.00207428546900372
dirac,cf_l2_w,0.004408809413252282,0.015114601394837815,0.009874297324113355,0.004608419767439415,0.00045954481432938717,0.005308386545014087,0.0019250966797335622,0.0017369106009958951
phi_cat,w1,0.2886799974744382,0.4228821597245612,0.36552322390499137,0.31911753837915624,0.0057484668350818394,0.04099808361642953,0.033282464458771165,0.006053786677943612
phi_cat,cramer_l2,0.028078967820784125,0.022508816636493522,0.03633595535489999,0.028983036323273915,0.0013701810662314967,0.001812278853222099,0.0021220361816617094,0.001523025399622067
phi_cat,cf_l2_w,0.022002131297529034,0.019709292983045596,0.031009942067255897,0.023080909521370235,0.0005032696853597481,0.002417953022896377,0.0017714558189926531,0.0006297916102348664
phi_qt,w1,0.1366988099159356,0.3888732638823903,0.20664285770289897,0.16348328968764964,0.01211015298308069,0.03737111242770802,0.023645890940067936,0.01780808054107494
phi_qt,cramer_l2,0.004599794905821944,0.010705038498380209,0.008992968057052995,0.0044906337599322915,0.0009809745100850802,0.0010234617966149936,0.002419573361967645,0.001510829220705538
phi_qt,cf_l2_w,0.004063913094826299,0.009750172033922451,0.008469485176772604,0.003995722412239785,0.001019928527182946,0.001622674272941205,0.0023588831665802557,0.0015534779345999635
