algorithm,metric,Gauss,Cauchy,MoG,Gam
phi_mog,w1,0.047623059417798576,0.03274046166417094,0.03904994440135508,0.07872853929343916
phi_mog,cramer_l2,0.00030240111343233833,0.00015943039675524155,0.0004103865327052856,0.00044095227866682566
phi_mog,cf_l2_w,0.00020091041527251416,0.00014796441206965855,0.0003900663218387952,0.00023769142760509415
phi_moc,w1,0.11583145735400033,0.038243768151615544,0.07595564204316939,0.13491714675009103
phi_moc,cramer_l2,0.0036532167432377053,0.000188434994306761,0.0017609845003539529,0.0026549265295781224
phi_moc,cf_l2_w,0.002261400055026906,0.00016338719166332082,0.0009258774135335067,0.0015252869798215603
phi_mogamma,w1,0.7140433671981153,2.457796212846256,1.9438741407251885,0.07335588423183705
phi_mogamma,cramer_l2,0.29664117083717606,0.7956865845163498,0.736005257294204,0.00027767924563177265
phi_mogamma,cf_l2_w,0.26078507264634954,0.7209075614363252,0.6942922187484052,0.00010598854429048641
phi_cat,w1,0.2789605645989488,0.2810317596623366,0.2851105088849076,0.3111795954413386
phi_cat,cramer_l2,0.027343159179556393,0.01462869706684717,0.03454616465772398,0.02856014990411702
phi_cat,cf_l2_w,0.020363892599904725,0.01154908902287828,0.028451847113289307,0.02271053508065683
phi_qt,w1,0.08577266540033561,0.18270447754346583,0.1058600156508371,0.11129005190720243
phi_qt,cramer_l2,0.0012781945524208745,0.0017476344459405805,0.002708307740280525,0.0012065360944388465
phi_qt,cf_l2_w,0.0007907312616195002,0.0026606785288156138,0.002182016994887182,0.0006976148652545155
