algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_se,Cauchy_se,MoG_se,Gam_se
phi_mog,w1,0.04808969002804155,0.0473878694483465,0.052477339598190405,0.07730196083115343,0.0,0.0,0.0,0.0
phi_mog,cramer_l2,0.0003212417325893359,0.0002762633916305142,0.0005268027645658249,0.0007294969550801292,0.0,0.0,0.0,0.0
phi_mog,cf_l2_w,0.00022272635699063662,0.000216839726401018,0.00047796698801923465,0.0004966956864690884,0.0,0.0,0.0,0.0
phi_moc,w1,0.11637822031902431,0.0384546148794192,0.07339921984832869,0.13084940749109508,0.0,0.0,0.0,0.0
phi_moc,cramer_l2,0.0036667267147562875,0.00018542673104802153,0.0016724878339931138,0.00241005768648008,0.0,0.0,0.0,0.0
phi_moc,cf_l2_w,0.0023640373727903613,0.0001583437813024266,0.0008483117756240808,0.0012294694213806309,0.0,0.0,0.0,0.0
phi_mogamma,w1,0.7160837751055188,2.49372389909601,1.951263489692215,0.0729564157679483,0.0,0.0,0.0,0.0
phi_mogamma,cramer_l2,0.2972248340759155,0.7988900900317263,0.7372527961484704,0.00034443922506030556,0.0,0.0,0.0,0.0
phi_mogamma,cf_l2_w,0.26140012887888564,0.7255127446442666,0.6957593390495845,0.00022728022043302348,0.0,0.0,0.0,0.0
phi_cat,w1,0.28161986656232924,0.28567453124553943,0.29314056943615757,0.2861843722720251,0.0,0.0,0.0,0.0
phi_cat,cramer_l2,0.02800208297015499,0.014637128942056819,0.03496334305856229,0.02895739565634467,0.0,0.0,0.0,0.0
phi_cat,cf_l2_w,0.020695022823140796,0.011590249423956372,0.028689963834836702,0.02291482554370821,0.0,0.0,0.0,0.0
phi_qt,w1,0.08326126562911462,0.18393589952255385,0.10810287456655679,0.12473912935845935,0.0,0.0,0.0,0.0
phi_qt,cramer_l2,0.001180019637936498,0.0018242271835524043,0.002870746282050113,0.0017575192786216398,0.0,0.0,0.0,0.0
phi_qt,cf_l2_w,0.0007196112105850528,0.002734103875505424,0.002335506537736333,0.0012826408711621269,0.0,0.0,0.0,0.0
