env,variant,step,return,ci
Breakout-MinAtar,M-10,2000000,13.9,0.95
Breakout-MinAtar,M-10,4000000,13.9,2.0
Breakout-MinAtar,M-10,6000000,21.9,1.9
Breakout-MinAtar,M-10,8000000,24.5,1.5
Breakout-MinAtar,M-10,10000000,25.7,2.7
Breakout-MinAtar,M-20,2000000,13.4,0.91
Breakout-MinAtar,M-20,4000000,14.9,1.5
Breakout-MinAtar,M-20,6000000,20.1,2.1
Breakout-MinAtar,M-20,8000000,24.3,2.4
Breakout-MinAtar,M-20,10000000,24.3,2.0
Breakout-MinAtar,M-51,2000000,12.3,1.6
Breakout-MinAtar,M-51,4000000,14.3,1.5
Breakout-MinAtar,M-51,6000000,20.8,2.1
Breakout-MinAtar,M-51,8000000,24.1,0.68
Breakout-MinAtar,M-51,10000000,26.1,1.7
Breakout-MinAtar,M-100,2000000,12.3,1.5
Breakout-MinAtar,M-100,4000000,15.3,1.0
Breakout-MinAtar,M-100,6000000,21.7,2.2
Breakout-MinAtar,M-100,8000000,23.9,2.1
Breakout-MinAtar,M-100,10000000,24.3,2.6
SpaceInvaders-MinAtar,M-10,2000000,41.7,4.7
SpaceInvaders-MinAtar,M-10,4000000,60.9,4.0
SpaceInvaders-MinAtar,M-10,6000000,67.0,2.0
SpaceInvaders-MinAtar,M-10,8000000,74.7,2.7
SpaceInvaders-MinAtar,M-10,10000000,80.7,2.3
SpaceInvaders-MinAtar,M-20,2000000,35.5,4.2
SpaceInvaders-MinAtar,M-20,4000000,61.1,4.3
SpaceInvaders-MinAtar,M-20,6000000,72.1,3.5
SpaceInvaders-MinAtar,M-20,8000000,77.6,2.4
SpaceInvaders-MinAtar,M-20,10000000,83.7,2.6
SpaceInvaders-MinAtar,M-51,2000000,35.3,3.8
SpaceInvaders-MinAtar,M-51,4000000,61.4,1.7
SpaceInvaders-MinAtar,M-51,6000000,75.6,5.2
SpaceInvaders-MinAtar,M-51,8000000,81.5,4.4
SpaceInvaders-MinAtar,M-51,10000000,88.1,1.5
SpaceInvaders-MinAtar,M-100,2000000,36.5,5.1
SpaceInvaders-MinAtar,M-100,4000000,59.8,2.5
SpaceInvaders-MinAtar,M-100,6000000,70.6,3.0
SpaceInvaders-MinAtar,M-100,8000000,77.4,2.3
SpaceInvaders-MinAtar,M-100,10000000,79.3,3.7
