env,variant,step,return,ci
Breakout-MinAtar,N_OMEGA-32,2000000,12.4,1.2
Breakout-MinAtar,N_OMEGA-32,4000000,14.1,2.0
Breakout-MinAtar,N_OMEGA-32,6000000,19.1,2.3
Breakout-MinAtar,N_OMEGA-32,8000000,23.3,2.0
Breakout-MinAtar,N_OMEGA-32,10000000,23.9,2.2
Breakout-MinAtar,N_OMEGA-64,2000000,12.8,0.79
Breakout-MinAtar,N_OMEGA-64,4000000,14.2,0.56
Breakout-MinAtar,N_OMEGA-64,6000000,18.0,1.8
Breakout-MinAtar,N_OMEGA-64,8000000,24.5,0.71
Breakout-MinAtar,N_OMEGA-64,10000000,24.0,1.6
Breakout-MinAtar,N_OMEGA-128,2000000,12.0,1.7
Breakout-MinAtar,N_OMEGA-128,4000000,15.3,0.83
Breakout-MinAtar,N_OMEGA-128,6000000,21.0,1.7
Breakout-MinAtar,N_OMEGA-128,8000000,24.6,1.9
Breakout-MinAtar,N_OMEGA-128,10000000,23.4,3.1
Breakout-MinAtar,N_OMEGA-256,2000000,13.9,0.83
Breakout-MinAtar,N_OMEGA-256,4000000,14.6,0.91
Breakout-MinAtar,N_OMEGA-256,6000000,20.9,0.62
Breakout-MinAtar,N_OMEGA-256,8000000,24.0,1.1
Breakout-MinAtar,N_OMEGA-256,10000000,23.8,2.4
SpaceInvaders-MinAtar,N_OMEGA-32,2000000,32.3,5.9
SpaceInvaders-MinAtar,N_OMEGA-32,4000000,57.8,3.6
SpaceInvaders-MinAtar,N_OMEGA-32,6000000,70.0,2.8
SpaceInvaders-MinAtar,N_OMEGA-32,8000000,74.7,3.3
SpaceInvaders-MinAtar,N_OMEGA-32,10000000,84.9,3.3
SpaceInvaders-MinAtar,N_OMEGA-64,2000000,34.5,3.6
SpaceInvaders-MinAtar,N_OMEGA-64,4000000,57.9,3.6
SpaceInvaders-MinAtar,N_OMEGA-64,6000000,70.3,1.8
SpaceInvaders-MinAtar,N_OMEGA-64,8000000,75.2,1.8
SpaceInvaders-MinAtar,N_OMEGA-64,10000000,80.4,2.2
SpaceInvaders-MinAtar,N_OMEGA-128,2000000,38.8,2.5
SpaceInvaders-MinAtar,N_OMEGA-128,4000000,60.4,4.9
SpaceInvaders-MinAtar,N_OMEGA-128,6000000,72.6,2.8
SpaceInvaders-MinAtar,N_OMEGA-128,8000000,77.3,2.3
SpaceInvaders-MinAtar,N_OMEGA-128,10000000,88.3,1.8
SpaceInvaders-MinAtar,N_OMEGA-256,2000000,37.5,4.8
SpaceInvaders-MinAtar,N_OMEGA-256,4000000,63.9,2.1
SpaceInvaders-MinAtar,N_OMEGA-256,6000000,70.1,1.4
SpaceInvaders-MinAtar,N_OMEGA-256,8000000,79.8,1.9
SpaceInvaders-MinAtar,N_OMEGA-256,10000000,84.8,1.6
