env,variant,step,return,ci
Breakout-MinAtar,ABL2-PhiTD-MoG-PARETO_1,2000000,13.5,1.2
Breakout-MinAtar,ABL2-PhiTD-MoG-PARETO_1,4000000,15.3,2.3
Breakout-MinAtar,ABL2-PhiTD-MoG-PARETO_1,6000000,21.3,1.1
Breakout-MinAtar,ABL2-PhiTD-MoG-PARETO_1,8000000,24.7,0.82
Breakout-MinAtar,ABL2-PhiTD-MoG-PARETO_1,10000000,23.5,1.4
Breakout-MinAtar,ABL2-PhiTD-MoG-EXPONENTIAL,2000000,12.3,1.1
Breakout-MinAtar,ABL2-PhiTD-MoG-EXPONENTIAL,4000000,16.4,1.1
Breakout-MinAtar,ABL2-PhiTD-MoG-EXPONENTIAL,6000000,22.8,0.79
Breakout-MinAtar,ABL2-PhiTD-MoG-EXPONENTIAL,8000000,25.3,1.3
Breakout-MinAtar,ABL2-PhiTD-MoG-EXPONENTIAL,10000000,25.7,2.3
Breakout-MinAtar,ABL2-PhiTD-MoG-UNIFORM,2000000,12.2,0.49
Breakout-MinAtar,ABL2-PhiTD-MoG-UNIFORM,4000000,14.5,1.7
Breakout-MinAtar,ABL2-PhiTD-MoG-UNIFORM,6000000,19.8,2.2
Breakout-MinAtar,ABL2-PhiTD-MoG-UNIFORM,8000000,25.5,1.9
Breakout-MinAtar,ABL2-PhiTD-MoG-UNIFORM,10000000,25.6,2.5
Breakout-MinAtar,ABL2-PhiTD-FCm-PARETO_1,2000000,10.3,3.8
Breakout-MinAtar,ABL2-PhiTD-FCm-PARETO_1,4000000,11.4,2.9
Breakout-MinAtar,ABL2-PhiTD-FCm-PARETO_1,6000000,13.4,1.2
Breakout-MinAtar,ABL2-PhiTD-FCm-PARETO_1,8000000,16.9,0.59
Breakout-MinAtar,ABL2-PhiTD-FCm-PARETO_1,10000000,20.2,3.6
Breakout-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,2000000,9.2,1.4
Breakout-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,4000000,9.6,2.3
Breakout-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,6000000,11.4,2.5
Breakout-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,8000000,14.1,0.75
Breakout-MinAtar,ABL2-PhiTD-FCm-EXPONENTIAL,10000000,17.0,2.6
Breakout-MinAtar,ABL2-PhiTD-FCm-UNIFORM,2000000,8.2,1.3
Breakout-MinAtar,ABL2-PhiTD-FCm-UNIFORM,4000000,9.4,1.4
Breakout-MinAtar,ABL2-PhiTD-FCm-UNIFORM,6000000,11.1,2.4
Breakout-MinAtar,ABL2-PhiTD-FCm-UNIFORM,8000000,11.7,1.8
Breakout-MinAtar,ABL2-PhiTD-FCm-UNIFORM,10000000,9.5,1.3
Breakout-MinAtar,ABL2-PhiTD-FQm-PARETO_1,2000000,12.4,1.6
Breakout-MinAtar,ABL2-PhiTD-FQm-PARETO_1,4000000,14.6,1.6
Breakout-MinAtar,ABL2-PhiTD-FQm-PARETO_1,6000000,19.3,1.5
Breakout-MinAtar,ABL2-PhiTD-FQm-PARETO_1,8000000,21.3,2.1
Breakout-MinAtar,ABL2-PhiTD-FQm-PARETO_1,10000000,22.0,3.5
Breakout-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,2000000,7.8,1.4
Breakout-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,4000000,11.9,1.00
Breakout-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,6000000,19.2,2.0
Breakout-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,8000000,23.0,0.58
Breakout-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,10000000,21.6,1.9
Breakout-MinAtar,ABL2-PhiTD-FQm-UNIFORM,2000000,0.2,0.15
